Task ID,Task Name,Subtasks,Priority,Status,Description
KB,Knowledge Pack,KB-1|KB-2|KB-3|KB-4|KB-5|KB-6,2,to do,"Epic. Build the knowledge content pack the agent retrieves from: company rules/regulations plus the who-owns-what ownership map and directory. Authored by interns with HR / IT / department-head input."
KB-1,KB-1 · Content schema (policy + ownership),,1,to do,"WHAT: Design the JSON schema every knowledge source uses. PolicyDoc fields: id, title, category, audience, language, body, source, owning_department, last_updated. ResponsibilityArea fields: id, topic, keywords, owning_department, primary_contact, contact_channel, notes.
DEPENDS ON: Nothing. Do this FIRST - it blocks all content and ingestion work.
LEVEL: Junior.
DONE WHEN: Schema documented in docs/. One example file per type validates against it. Categories are an agreed, fixed enum."
KB-2,KB-2 · Policy content pack,,2,to do,"WHAT: With HR/IT, collect and structure the rules - attendance/hours, dress code, annual leave & benefits, code of conduct, IT/email/apps, facilities. Bilingual (Arabic/English) allowed.
DEPENDS ON: KB-1.
LEVEL: Junior.
DONE WHEN: At least 1 doc per category. Each has a real 'source' citation and an owning_department. All files validate against the schema."
KB-3,KB-3 · Responsibility / ownership map,,2,to do,"WHAT: Map concerns to owners - e.g. laptop to IT, payslip/leave to HR, meeting room/access card/parking to Admin, CRM to Sales Ops. This is what powers 'who do I ask?'.
DEPENDS ON: KB-1.
LEVEL: Junior.
DONE WHEN: At least 10 responsibility areas. Each has an owning_department, a contact person or role, and keywords. Validates against the schema."
KB-4,KB-4 · Department & employee directory,,2,to do,"WHAT: With HR, produce departments.json (name, description, head) and employees.json (name, role, department, email, is_contact_person).
DEPENDS ON: Nothing.
LEVEL: Junior.
DONE WHEN: Every employee.department exists in departments.json. Contact persons flagged. Emails present but treated as sensitive (see AGENT-5 PII-gating)."
KB-5,KB-5 · Bilingual FAQ set,,3,to do,"WHAT: Curate common new-hire questions with grounded answers, general and per-department, in Arabic and English.
DEPENDS ON: KB-1.
LEVEL: Junior.
DONE WHEN: At least 20 Q/A pairs, each tagged with owning_department and language."
KB-6,KB-6 · Content review & sign-off,,3,to do,"WHAT: A checklist and process for an owner (HR/IT/dept head) to approve content before it is indexed, plus a last-reviewed date on each doc.
DEPENDS ON: KB-2.
LEVEL: Junior.
DONE WHEN: Written checklist in docs/. Every published doc has an approver and a review date."
DATA,Directory & Data (Postgres),DATA-1|DATA-2|DATA-3|DATA-4,2,to do,"Epic. The relational directory (departments, employees, responsibility areas) in Postgres, plus its models, seed loader, and local dev database."
DATA-1,DATA-1 · Postgres schema design,,2,to do,"WHAT: ERD and DDL for the relational directory.
DEPENDS ON: KB-4 (need the real fields).
LEVEL: Mid.
DONE WHEN: Tables have primary/foreign keys and referential integrity (employee.department references department). Migration applies cleanly on a fresh database."
DATA-2,DATA-2 · Directory ORM & sessions,,2,to do,"WHAT: SQLAlchemy/SQLModel models plus engine/session helpers, fully typed.
FILES: src/onboard_agent/database/ (align with existing postgres.py/schema.py).
DEPENDS ON: DATA-1.
LEVEL: Mid.
DONE WHEN: Models mirror the schema. mypy strict passes. A simple query test runs against a test database."
DATA-3,DATA-3 · Seed loader (JSON to Postgres),,2,to do,"WHAT: Idempotent loader that reads the directory JSON and upserts into Postgres.
DEPENDS ON: DATA-2.
LEVEL: Junior.
DONE WHEN: Re-running produces no duplicates. Row counts equal source counts. Referential integrity holds."
DATA-4,DATA-4 · Postgres dev compose,,3,to do,"WHAT: Compose service with a healthcheck and a named volume.
DEPENDS ON: Nothing.
LEVEL: Junior.
DONE WHEN: 'docker compose up' gives a reachable Postgres. DSN documented and matches config defaults."
INGEST,Content to Qdrant,INGEST-1|INGEST-2|INGEST-3|INGEST-4|INGEST-5,2,to do,"Epic. Turn the validated content pack into a searchable vector store: self-hosted BGE-M3 embeddings, a Franko normalizer, chunking with metadata, and the end-to-end indexing pipeline into Qdrant."
INGEST-1,INGEST-1 · Qdrant collection setup,,2,to do,"WHAT: Run Qdrant (docker) and create the collection with the correct vector size (1024 for BGE-M3) and distance metric.
DEPENDS ON: Nothing.
LEVEL: Junior.
DONE WHEN: Collection exists with dim=1024. Connection settings match config. Documented."
